id,name,capacity
00844, 이촌2동 동원베네스트 아파트 앞,15
00845, 용산 선인상가,16
00846, 용산중학교,15
00848, 삼각지12번 출구,10
00849, 삼각지 자이아파트,20
00850, KCC용산월츠타워,15
00851,효창 푸르지오 앞,10
00852,청암자이아파트 앞,30
00853,용산역 맞은편,19
00854,HID 유족동지회 앞,10
00855,이촌역5번출구 앞,10
00857, 현대 안성타워,10
00858,녹사평역3번 출구,10
00859,남산공원 야외식물원 앞,10
00860,LG한강 자이아파트 앞,22
00863,이촌역2번 출구,10
00864,순천향대학병원(한남오거리),10
00866,브라운스톤 남산아파트,10
00867,서빙고역 광장(1번출구),10
00869,노들섬 동측 앞,10
00870,노들섬 서측 앞,10
00900, 은평예술회관,20
00902, 진관동 은빛초등학교,10
00903, 은평뉴타운 아이파크,20
00904, 은평뉴타운 푸르지오,18
00905, 구파발역 2번출구,10
00906, 연신내역 5번출구,10
00907, CJ 드림시티,10
00908, 구산역 4번출구,10
00909, 백련산 힐스테이트 3차,10
00911, 은평평화공원(역촌역4번출구),10
00912, 응암오거리,20
00913, 이마트 버스정류장(서부경찰서 방면),15
00914, 새절역 2번출구,20
00915, 증산역 4번출구,10
00916, 평생학습관 앞,13
00917, 녹번역 3번출구,10
00919, 서울혁신파크,10
00921, 신도고등학교,8
00922, 연신내역 4번출구,10
00923, 국민은행 연서지점,10
00925, 불광역 2번출구,8
00927, 연신내역 3번출구 인근,10
00928, 은평역사한옥박물관,15
00930, 구 서부경찰서 건너편,7
00931, 역촌파출소,19
00932, 예일여중,20
00933, 역촌종합시장 버스정류장(예일여고 방면),15
00937, 상림마을 롯데캐슬2단지 옆,10
00938, 금암 문화공원,10
00939, 은평구청 교차로,15
00941, 은평뉴타운 도서관,13
00942, 상림마을 생태공원,9
00943, 은평구청 보건소,10
00945, 기자촌 사거리 A,10
00946, 독바위역,16
00947, 연신내 선일하이츠빌 정류소,10
00948, 디지털미디어 시티역 4번출구(DMC역),10
00949, 연신내역 1번 출구,6
00950, 구산역 2번 출구 예일여고 버스정류장,10
00952, 서울연신중학교,10
00953, 서울연신초등학교,10
00954, 은평뉴타운구파발9단지,10
00956, 응암시장교차로,9
00958, 본 서부병원 버스정류장(은평 세무서 방면),13
00959, 구파발10단지 인근,10
00960, 구파발역 환승센터,15
00962, 은평뉴타운 힐데스하임,10
